freq_mhz,channel1_v,channel2_v
2730,-8.52351e-06,-1.96696e-06
2730.5,-5.18563e-06,-7.21221e-06
2731,-2.205385e-06,8.34469e-07
2731.5,-4.94721e-06,-6.61616e-06
2732,-1.293424e-05,-4.11274e-06
2732.5,-1.424555e-05,-6.07971e-06
2733,-7.331403e-06,-1.251706e-06
2733.5,-1.615295e-05,3.93392e-06
2734,-1.525893e-05,1.49012e-06
2734.5,-4.64918e-06,-2.02657e-06
2735,-1.19211e-06,-2.98025e-06
2735.5,-7.03339e-06,3.5763e-07
2736,-9.4176e-06,2.98025e-06
2736.5,-1.132496e-05,-1.90736e-06
2737,-2.44977e-05,3.93392e-06
2737.5,-1.484165e-05,9.5368e-07
2738,-8.76192e-06,1.84775e-06
2738.5,-2.16366e-05,-1.1921e-06
2739,-1.9014e-05,8.34468e-06
2739.5,-2.449767e-05,1.43052e-05
2740,-2.54513e-05,9.29837e-06
2740.5,-2.56898e-05,6.37773e-06
2741,-3.23059e-05,-2.20539e-06
2741.5,-3.86837e-05,1.1921e-07
2742,-3.61802e-05,3.21866e-06
2742.5,-5.09026e-05,1.12057051e-05
2743,-6.16316e-05,1.764303e-05
2743.5,-6.23468e-05,8.76192e-06
2744,-8.10032e-05,1.031166e-05
2744.5,-9.73944e-05,1.603373e-05
2745,-9.86461e-05,8.106291e-06
2745.5,-0.0001108651,1.96696e-05
2746,-0.0001362572,2.3544e-05
2746.5,-0.0001577148,1.454362e-05
2747,-0.0001908546,1.96696e-05
2747.5,-0.000237526,2.509369e-05
2748,-0.000273229,3.38557e-05
2748.5,-0.000317397,3.18887e-05
2749,-0.000349345,3.54053e-05
2749.5,-0.000340583,3.06966e-05
2750,-0.000365379,2.78355e-05
2750.5,-0.000382783,2.753748e-05
2751,-0.000382843,2.26499e-05
2751.5,-0.000373186,2.199431e-05
2752,-0.000356855,2.598782e-05
2752.5,-0.000346961,1.436478e-05
2753,-0.000321867,1.955041e-05
2753.5,-0.000285747,1.806024e-05
2754,-0.000243129,1.722588e-05
2754.5,-0.0002030739,1.943123e-05
2755,-0.0001716623,2.20538e-05
2755.5,-0.0001376877,6.31814e-06
2756,-0.0001086001,1.627218e-05
2756.5,-9.43546e-05,5.78168e-06
2757,-7.64732e-05,3.33787e-06
2757.5,-6.62212e-05,2.503406e-06
2758,-7.34334e-05,1.43053e-06
2758.5,-6.38966e-05,1.55569e-05
2759,-5.02469e-05,9.71562e-06
2759.5,-4.52401e-05,1.561651e-05
2760,-3.48689e-05,-4.7684e-06
2760.5,-1.53781e-05,-6.43734e-06
2761,-1.537809e-05,-7.093e-06
2761.5,-2.65242e-05,-2.503405e-06
2762,-2.69415e-05,5.36446e-06
2762.5,-1.55569e-05,1.138456e-05
2763,-1.412634e-05,6.91418e-06
2763.5,2.205386e-06,2.3842e-06
2764,6.5565e-07,-2.44379e-06
2764.5,-1.108652e-05,-5.30483e-06
2765,-1.060968e-05,-1.06693e-05
2765.5,-5.18565e-06,-7.093e-06
2766,-2.4438e-06,2.324594e-06
2766.5,-1.13249e-06,2.80145e-06
2767,1.78814e-06,6.13932e-06
2767.5,-3.27827e-06,1.370914e-06
2768,-1.436481e-05,-1.1921e-07
2768.5,-2.51532e-05,-5.9605e-07
2769,-2.115979e-05,-1.144417e-05
2769.5,-1.668942e-05,-8.82153e-06
2770,-1.269588e-05,-7.7486e-07
2770.5,-2.157704e-05,-2.3842e-07
2771,-2.76567e-05,7.1526e-06
2771.5,-1.72258e-05,8.344709e-06
2772,-1.382837e-05,-1.31131e-06
2772.5,-2.56303e-06,-1.25171e-06
2773,-1.388793e-05,-1.132494e-05
2773.5,-1.204022e-05,-6.55655e-06
2774,-1.281511e-05,-7.68904e-06
2774.5,-9.47718e-06,-4.17234e-06
2775,-1.013283e-05,9.53675e-07
2775.5,-1.752381e-05,-1.204021e-05
2776,-2.13385e-05,-4.76839e-06
2776.5,-9.5369e-07,1.132494e-05
2777,-5.66247e-06,2.21731e-05
2777.5,-1.007326e-05,1.096731e-05
2778,-4.351165e-06,6.61616e-06
2778.5,-5.24524e-06,5.12603e-06
2779,-1.674899e-05,-1.78817e-06
2779.5,-1.853712e-05,1.728549e-06
2780,-1.519929e-05,2.026565e-06
2780.5,-3.57631e-06,1.1921e-07
2781,-5.12599e-06,2.741835e-06
2781.5,-1.525892e-05,1.430516e-06
2782,-1.633179e-05,-2.086174e-06
2782.5,-1.126535e-05,1.341115e-05
2783,-1.788151e-05,1.370915e-05
