freq_mhz,channel1_v,channel2_v
2790,2.265e-06,-6.91418e-06
2790.5,2.02656e-06,1.883513e-05
2791,-4.8876e-06,9.77522e-06
2791.5,-9.53675e-06,-1.263624e-05
2792,-1.120573e-05,2.50342e-06
2792.5,1.19209e-06,6.91419e-06
2793,-2.74183e-06,-2.5034e-06
2793.5,-1.1921e-07,1.58549e-05
2794,1.597415e-05,3.71934e-05
2794.5,-5.9605e-06,3.69551e-06
2795,-8.58307e-06,-4.76842e-06
2795.5,-1.311308e-05,-1.084816e-05
2796,-1.025208e-05,-3.5763e-06
2796.5,2.50341e-06,-1.81199e-05
2797,-1.204015e-05,-2.241142e-05
2797.5,1.645098e-05,7.62944e-06
2798,1.466279e-05,-1.466281e-05
2798.5,-1.442439e-05,-1.215941e-05
2799,-7.1526e-06,-1.430523e-06
2799.5,-2.193462e-05,1.108653e-05
2800,-3.8624e-05,6.55654e-06
2800.5,-7.98705e-06,-2.38421e-06
2801,-2.99217e-05,-1.1086541e-05
2801.5,-3.91008e-05,1.621251e-05
2802,-3.87433e-05,-1.6689e-06
2802.5,-5.44789e-05,-4.05314e-06
2803,-5.42406e-05,3.81471e-06
2803.5,-8.55927e-05,3.635898e-05
2804,-0.0001046662,1.704706e-05
2804.5,-0.0001088386,6.31815e-06
2805,-0.000114799,1.406678e-05
2805.5,-9.40565e-05,5.960491e-06
2806,-0.0001055006,-7.8679e-06
2806.5,-0.0001250512,-2.86104e-06
2807,-0.0001349456,3.6955e-06
2807.5,-0.0001348264,1.49012e-05
2808,-0.0001567612,-1.430521e-06
2808.5,-0.0001616487,1.347068e-05
2809,-0.0001313693,1.156337e-05
2809.5,-0.0001082425,1.382837e-05
2810,-9.77521e-05,1.060967e-05
2810.5,-9.78713e-05,-5.60287e-06
2811,-8.84537e-05,8.22543e-06
2811.5,-6.07971e-05,1.00136e-05
2812,-7.42678e-05,1.2993882e-05
2812.5,-7.46255e-05,3.21868e-06
2813,-7.093e-05,8.3447e-07
2813.5,-5.36444e-05,6.198919e-06
2814,-2.76568e-05,4.29155e-06
2814.5,-2.455722e-05,-1.29939e-05
2815,-2.276912e-05,-1.3113e-06
2815.5,-2.9564e-05,1.549728e-06
2816,-1.966958e-05,1.144416e-05
2816.5,-2.157698e-05,2.288826e-05
