delta_f,delta_tau,mf_solar,final_spin
0.021975504,0.082265043,55.5,0.7
-0.00070826125,0.074914414,55.5,0.7
-0.011546114,0.067850391,55.5,0.7
0.031188352,0.0081085146,55.5,0.7
-0.014118961,0.00934729,55.5,0.7
0.024363978,0.091521819,55.5,0.7
0.015409045,0.14556507,55.5,0.7
-0.018263107,-0.14347642,55.5,0.7
-0.04739539,0.082350596,55.5,0.7
0.0048110867,0.03391743,55.5,0.7
-0.0027322827,0.015951671,55.5,0.7
0.020977947,-0.020027686,55.5,0.7
-0.056299769,-0.029352428,55.5,0.7
-0.013319033,-0.054791016,55.5,0.7
-0.0025396653,0.034609517,55.5,0.7
0.00077802629,-0.038600467,55.5,0.7
-0.0060273121,0.0067658369,55.5,0.7
-0.00026984141,-0.070532374,55.5,0.7
-0.079812607,0.073566889,55.5,0.7
-0.019093261,0.055153516,55.5,0.7
-0.029866753,-0.056800991,55.5,0.7
-0.056344039,0.03441154,55.5,0.7
-0.0062458467,-0.0063610948,55.5,0.7
-0.021520159,-0.037796455,55.5,0.7
-0.044708651,0.013391062,55.5,0.7
-0.051885611,0.057748034,55.5,0.7
-3.9030177e-06,0.10775947,55.5,0.7
-0.086471724,0.01670019,55.5,0.7
-0.012582775,0.085111212,55.5,0.7
-0.043618971,0.049676719,55.5,0.7
-0.0057052369,0.057087351,55.5,0.7
0.048225419,0.085851302,55.5,0.7
0.021126247,-0.058767328,55.5,0.7
-0.01153351,-0.0081194613,55.5,0.7
0.035831207,0.11395004,55.5,0.7
0.047274137,-0.052553239,55.5,0.7
0.02039492,-0.028400409,55.5,0.7
0.046460586,0.13903653,55.5,0.7
-0.0029702689,-0.044096347,55.5,0.7
0.0097822778,0.026539349,55.5,0.7
-0.011950811,0.030676443,55.5,0.7
-0.020918468,-0.0046345131,55.5,0.7
-0.0086253225,0.07057526,55.5,0.7
-0.032909663,0.061627062,55.5,0.7
-0.012288356,-0.027451401,55.5,0.7
0.057610839,0.13198452,55.5,0.7
0.012310487,-0.030105683,55.5,0.7
-0.015084916,-0.013612517,55.5,0.7
0.042936609,0.015853031,55.5,0.7
0.034538226,0.034474733,55.5,0.7
-0.041596905,-0.05884561,55.5,0.7
-0.030380945,0.023351369,55.5,0.7
0.043247176,-0.10779233,55.5,0.7
-0.0062752113,-0.016639594,55.5,0.7
-0.0036388184,-0.040634966,55.5,0.7
-0.025175501,-0.033728842,55.5,0.7
-0.042749277,-0.00070980811,55.5,0.7
0.025649388,0.031882405,55.5,0.7
-0.033732657,-0.039020467,55.5,0.7
0.0072153878,0.014731978,55.5,0.7
0.047176786,-0.068445089,55.5,0.7
0.007105239,-0.0097185903,55.5,0.7
-0.015600158,0.063229786,55.5,0.7
0.0099802362,-0.028007119,55.5,0.7
0.0078022759,-0.0062120841,55.5,0.7
-0.023046429,0.0045540609,55.5,0.7
-0.0011258244,0.05810113,55.5,0.7
-0.045948297,0.023007801,55.5,0.7
-0.062443217,-0.012151758,55.5,0.7
-0.025953998,-0.054320089,55.5,0.7
-0.062624767,0.011710303,55.5,0.7
-0.028558585,-0.16615973,55.5,0.7
-0.013138451,0.032056747,55.5,0.7
-0.0039056493,-0.035391109,55.5,0.7
0.047063958,0.057063863,55.5,0.7
-0.03764181,-0.0016739619,55.5,0.7
-0.023506743,0.084460279,55.5,0.7
-0.02372739,-0.033099989,55.5,0.7
-0.040384272,-0.11562409,55.5,0.7
0.051893653,0.021138935,55.5,0.7
-0.033446072,-0.02634147,55.5,0.7
-0.017055854,8.8603979e-05,55.5,0.7
-0.015279274,0.076189803,55.5,0.7
0.064267209,-0.031305351,55.5,0.7
-0.019337099,0.045017107,55.5,0.7
-0.033359579,0.054736184,55.5,0.7
0.027664886,0.077783282,55.5,0.7
-0.030167591,-0.11472521,55.5,0.7
-0.07430705,0.0030296518,55.5,0.7
0.024444857,-0.026857713,55.5,0.7
0.018345951,-0.00099909295,55.5,0.7
-0.053768058,-0.049741915,55.5,0.7
-0.048036612,-0.019823437,55.5,0.7
-0.011383946,0.062240672,55.5,0.7
-0.039927354,0.10230691,55.5,0.7
-0.056870582,0.038883933,55.5,0.7
-0.047082178,-0.072758971,55.5,0.7
0.044047338,0.091526875,55.5,0.7
0.022303464,-0.059202405,55.5,0.7
-0.043331773,-0.021657777,55.5,0.7
-0.015491,0.072669845,55.5,0.7
-0.0076163111,-0.026945812,55.5,0.7
-0.021285102,0.047245616,55.5,0.7
-0.012090231,-0.0088634456,55.5,0.7
0.0425887,-0.050251606,55.5,0.7
-0.030610018,0.015687784,55.5,0.7
-0.034791441,-0.029288759,55.5,0.7
-0.012652772,0.11051849,55.5,0.7
-0.031969621,0.11133648,55.5,0.7
-0.024941737,0.096889977,55.5,0.7
-0.024928899,-0.055566234,55.5,0.7
-0.042012882,0.1129896,55.5,0.7
0.025642315,0.033098797,55.5,0.7
-0.031920324,0.033148127,55.5,0.7
0.029054528,0.027054176,55.5,0.7
-0.03771406,-0.030075986,55.5,0.7
-0.03974098,0.009483571,55.5,0.7
-0.0040032427,0.061036086,55.5,0.7
-0.019773162,0.097338638,55.5,0.7
0.014308256,0.046364907,55.5,0.7
0.0090640763,0.01260578,55.5,0.7
0.059595392,-0.0063620142,55.5,0.7
-0.10246385,-0.02923264,55.5,0.7
-0.043828129,0.097117699,55.5,0.7
-0.013089649,0.047974538,55.5,0.7
-0.018327319,0.01993436,55.5,0.7
-0.013417695,-0.089911309,55.5,0.7
0.067974265,-0.080879666,55.5,0.7
-0.081435641,0.033615552,55.5,0.7
0.0091857613,0.049055173,55.5,0.7
-0.018850373,0.072187375,55.5,0.7
-0.011524391,0.019366552,55.5,0.7
0.021686241,-0.024470555,55.5,0.7
-0.013604485,-0.094101969,55.5,0.7
0.012646747,-0.041996901,55.5,0.7
0.028194614,-0.12166349,55.5,0.7
0.025161048,0.032470327,55.5,0.7
-0.069473116,0.023973353,55.5,0.7
-0.031961345,0.084975479,55.5,0.7
-0.052119853,-0.10887932,55.5,0.7
-0.03615536,-0.081321466,55.5,0.7
-0.017905342,0.042505412,55.5,0.7
